elec,year,USH_dist,HOU_dist,hstraight,n
2016-11-08,16,3,9,0.9020369411358536,11586
2016-11-08,16,3,10,0.9322830292979547,14472
2016-11-08,16,3,12,0.8848599799174384,8963
2016-11-08,16,3,13,0.9050834879406308,13475
2016-11-08,16,3,16,0.9116577901766845,11829
2016-11-08,16,3,39,0.8948387096774194,6200
2016-11-08,16,3,40,0.8417495029821074,2515
2016-11-08,16,3,42,0.7973372781065089,2704
2016-11-08,16,4,10,0.8620689655172413,783
2016-11-08,16,4,16,0.9031175059952038,2085
2016-11-08,16,4,31,0.8648822545360958,7771
2016-11-08,16,4,34,0.8769787063077541,12445
2016-11-08,16,4,37,0.8746475029564268,10993
2016-11-08,16,5,26,0.8821273475833287,17731
2016-11-08,16,5,37,0.89,100
2016-11-08,16,5,40,0.8192623337420998,10601
2016-11-08,16,5,42,0.708029197080292,9864
2016-11-08,16,5,45,0.8763429857771411,19546
2016-11-08,16,5,53,0.8350515463917526,970
2016-11-08,16,6,15,0.843216896831844,1231
2016-11-08,16,6,75,0.8138686131386861,274
2016-11-08,16,6,79,0.925531914893617,376
2016-11-08,16,6,90,0.8513526905163017,10091
2016-11-08,16,6,100,0.8435754189944135,895
2016-11-08,16,6,110,0.8268482490272373,514
2016-11-08,16,6,113,0.6832044360134247,6853
2016-11-08,16,6,114,0.8666666666666667,15
2016-11-08,16,6,116,0.4598474652310453,6687
2016-11-08,16,6,121,0.8696316414870141,5891
2016-11-08,16,7,53,0.8781521739130435,9200
2016-11-08,16,7,54,0.8132204187250058,8502
2016-11-08,16,7,57,0.7158264144483437,11683
2016-11-08,16,7,58,0.9018146223928921,13281
2018-11-06,18,1,15,0.9225932025752358,6679
2018-11-06,18,1,94,0.900054914881933,10926
2018-11-06,18,1,97,0.9152624756966947,6172
2018-11-06,18,1,99,0.9047415938010948,14067
2018-11-06,18,1,100,0.9273013729462075,13329
2018-11-06,18,1,102,0.9381559220389805,2668
2018-11-06,18,1,109,0.6058153477218226,3336
2018-11-06,18,1,110,0.8466738108977001,12131
2018-11-06,18,1,112,0.866164357320733,15661
2018-11-06,18,1,114,0.8793666340189357,12252
2018-11-06,18,1,115,0.873392338542387,14462
2018-11-06,18,1,116,0.5319591527987897,5288
2018-11-06,18,1,117,0.9260804078322327,8631
2018-11-06,18,1,119,0.8971446852755339,12503
2018-11-06,18,1,120,0.9244648318042813,9810
2018-11-06,18,1,123,0.8982426894491908,14397
2018-11-06,18,2,66,0.9528487229862476,509
2018-11-06,18,2,69,0.8887252374990795,13579
2018-11-06,18,2,73,0.9336734693877551,3528
2018-11-06,18,2,75,0.8605302301163706,11429
2018-11-06,18,2,81,0.9324641280353201,14496
2018-11-06,18,2,84,0.9473449352967426,11205
2018-11-06,18,2,85,0.30789174149487797,15814
2018-11-06,18,2,87,0.9159333965073778,14774
2018-11-06,18,2,93,0.909323116219668,3915
2018-11-06,18,2,95,0.9167065581617999,2089
2018-11-06,18,2,96,0.9272326350606395,9070
2018-11-06,18,3,2,0.9123102866779089,11860
2018-11-06,18,3,10,0.9548815953469049,12035
2018-11-06,18,3,11,0.9291820580474934,9475
2018-11-06,18,3,13,0.9440870856011875,12126
2018-11-06,18,3,35,0.9545214172395557,1891
2018-11-06,18,4,10,0.956953642384106,604
2018-11-06,18,4,17,0.9218547807332854,13910
2018-11-06,18,4,19,0.9229450327786183,9915
2018-11-06,18,4,22,0.8701400800457404,13992
2018-11-06,18,4,35,0.9049448594806119,14055
2018-11-06,18,5,26,0.9176902766616921,17422
2018-11-06,18,5,43,0.9554455445544554,10908
2018-11-06,18,5,45,0.9355784740212132,20459
2018-11-06,18,5,46,0.9095447433127188,13421
2018-11-06,18,5,47,0.938424784217016,12976
2018-11-06,18,5,48,0.9374546414198061,15157
2018-11-06,18,5,49,0.6433473122378955,10492
2018-11-06,18,5,52,0.7799672935404742,12230
2018-11-06,18,6,15,0.9332697807435653,1049
2018-11-06,18,6,66,0.9524148449415354,9835
2018-11-06,18,6,73,0.9642338416848221,5508
2018-11-06,18,6,75,0.849802371541502,253
2018-11-06,18,6,93,0.8588757396449704,6760
2018-11-06,18,6,95,0.9479326186830015,7183
2018-11-06,18,6,97,0.9042379788101059,4908
2018-11-06,18,6,99,0.90625,192
2018-11-06,18,6,100,0.9289544235924933,746
