elec,office,county,dist,jID,n_dr,open,row_id_R,row_id_D,cand_R,cand_D,incumbency_R,incumbency_D,hits_R,hits_D,money_R,money_D,Rmoneyadv,Rnewsadv
2010-11-02,GOV,,,2010-11-02_GOV,2,1,1,8,Nikki R Haley,Vincent A Sheheen,0,0,4129,2882,,,,0.3594459883166765
2010-11-02,LGV,,,2010-11-02_LGV,2,1,2,9,Ken Ard,Ashley Cooper,0,0,534,426,,,,0.22548273366738147
2010-11-02,ATG,,,2010-11-02_ATG,2,1,3,10,Alan Wilson,Matthew Richardson,0,0,492,364,,,,0.3006118204601984
2010-11-02,SOS,,,2010-11-02_SOS,2,0,4,11,Mark Hammond,Marjorie L Johnson,1,0,409,130,,,,1.1409598364972027
2010-11-02,SSI,,,2010-11-02_SSI,2,1,5,12,Mick Zais,Frank Holleman,0,0,530,531,,,,-0.0018814680997056854
2010-11-02,USS,,,2010-11-02_USSEN,2,0,6,13,Jim DeMint,Alvin M Greene,1,0,6707,944,,,,1.9598711954493568
2010-11-02,USH,,3,2010-11-02_USHOU_3,2,1,7,14,Jeff Duncan,Jane Ballard Dyer,0,0,394,43,395940.45,141893.44,1.0261829459122787,2.194696130982861
2010-11-02,USH,,2,2010-11-02_USHOU_2,2,0,15,16,Joe Wilson,Rob Miller,1,0,2861,561,3450230.46,2051035.98,0.5200958094910586,1.6277741102227052
2010-11-02,CCD,Aiken,1,2010-11-02_CCD_Aiken_1,2,0,18,17,Andy Windham,Kathy Rawls,0,1,71,131,584.68,0,6.372773565338387,-0.6061358035703153
2010-11-02,HOU,,91,2010-11-02_HOU_91,2,0,19,20,Ben Kinlaw,Lonnie Hosey,0,1,30,62,8260,15855,-0.6520023320072639,-0.7091475219063863
2010-11-02,CCD,Anderson,2,2010-11-02_CCD_Anderson_2,2,0,21,22,Jack Abraham,Gracie S Floyd,0,1,152,529,7135.73,6400.08,0.10878796212293551,-1.2424390851537321
2010-11-02,CCD,Anderson,6,2010-11-02_CCD_Anderson_6,2,1,23,24,Ken Waters,Donovan A Loftis,0,0,57,39,0,,,0.37156355643248284
2010-11-02,HOU,,8,2010-11-02_HOU_8,2,0,27,25,Don C Bowen,Tom Dobbins,1,0,166,37,28874.1,28418,0.015921696477917635,1.4804076526903698
